topology_index,topology_id,topology_name,train_seed,completed,output,results_path,command
0,cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665,cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665,1,True,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665_trainseed1,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665_trainseed1/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665_trainseed1 --edge_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/topologies/cycle_chords_n6_m20_seed3.json --seed 1 --input_mask_seed 1 --no_progress --input_mask_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665.json --K 128 --L 128 --D 4 --N 4 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
0,cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665,cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665,2,True,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665_trainseed2,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665_trainseed2/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665_trainseed2 --edge_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/topologies/cycle_chords_n6_m20_seed3.json --seed 2 --input_mask_seed 2 --no_progress --input_mask_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665.json --K 128 --L 128 --D 4 --N 4 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
0,cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665,cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665,3,True,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665_trainseed3,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665_trainseed3/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665_trainseed3 --edge_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/topologies/cycle_chords_n6_m20_seed3.json --seed 3 --input_mask_seed 3 --no_progress --input_mask_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665.json --K 128 --L 128 --D 4 --N 4 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
0,cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665,cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665,4,True,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665_trainseed4,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665_trainseed4/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665_trainseed4 --edge_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/topologies/cycle_chords_n6_m20_seed3.json --seed 4 --input_mask_seed 4 --no_progress --input_mask_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665.json --K 128 --L 128 --D 4 --N 4 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
0,cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665,cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665,5,True,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665_trainseed5,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665_trainseed5/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665_trainseed5 --edge_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/topologies/cycle_chords_n6_m20_seed3.json --seed 5 --input_mask_seed 5 --no_progress --input_mask_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0047_c200_seed60665.json --K 128 --L 128 --D 4 --N 4 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
1,cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653,cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653,1,True,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653_trainseed1,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653_trainseed1/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653_trainseed1 --edge_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/topologies/cycle_chords_n6_m20_seed3.json --seed 1 --input_mask_seed 1 --no_progress --input_mask_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653.json --K 128 --L 128 --D 4 --N 4 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
1,cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653,cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653,2,True,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653_trainseed2,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653_trainseed2/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653_trainseed2 --edge_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/topologies/cycle_chords_n6_m20_seed3.json --seed 2 --input_mask_seed 2 --no_progress --input_mask_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653.json --K 128 --L 128 --D 4 --N 4 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
1,cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653,cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653,3,True,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653_trainseed3,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653_trainseed3/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653_trainseed3 --edge_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/topologies/cycle_chords_n6_m20_seed3.json --seed 3 --input_mask_seed 3 --no_progress --input_mask_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653.json --K 128 --L 128 --D 4 --N 4 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
1,cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653,cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653,4,True,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653_trainseed4,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653_trainseed4/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653_trainseed4 --edge_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/topologies/cycle_chords_n6_m20_seed3.json --seed 4 --input_mask_seed 4 --no_progress --input_mask_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653.json --K 128 --L 128 --D 4 --N 4 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
1,cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653,cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653,5,True,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653_trainseed5,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653_trainseed5/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653_trainseed5 --edge_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/topologies/cycle_chords_n6_m20_seed3.json --seed 5 --input_mask_seed 5 --no_progress --input_mask_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0035_c200_seed60653.json --K 128 --L 128 --D 4 --N 4 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
2,cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753,cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753,1,True,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753_trainseed1,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753_trainseed1/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753_trainseed1 --edge_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/topologies/cycle_chords_n6_m20_seed3.json --seed 1 --input_mask_seed 1 --no_progress --input_mask_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753.json --K 128 --L 128 --D 4 --N 4 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
2,cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753,cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753,2,True,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753_trainseed2,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753_trainseed2/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753_trainseed2 --edge_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/topologies/cycle_chords_n6_m20_seed3.json --seed 2 --input_mask_seed 2 --no_progress --input_mask_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753.json --K 128 --L 128 --D 4 --N 4 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
2,cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753,cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753,3,True,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753_trainseed3,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753_trainseed3/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753_trainseed3 --edge_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/topologies/cycle_chords_n6_m20_seed3.json --seed 3 --input_mask_seed 3 --no_progress --input_mask_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753.json --K 128 --L 128 --D 4 --N 4 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
2,cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753,cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753,4,True,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753_trainseed4,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753_trainseed4/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753_trainseed4 --edge_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/topologies/cycle_chords_n6_m20_seed3.json --seed 4 --input_mask_seed 4 --no_progress --input_mask_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753.json --K 128 --L 128 --D 4 --N 4 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
2,cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753,cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753,5,True,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753_trainseed5,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753_trainseed5/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753_trainseed5 --edge_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/topologies/cycle_chords_n6_m20_seed3.json --seed 5 --input_mask_seed 5 --no_progress --input_mask_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0135_c200_seed60753.json --K 128 --L 128 --D 4 --N 4 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,1,True,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed1,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed1/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed1 --edge_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/topologies/cycle_chords_n6_m20_seed3.json --seed 1 --input_mask_seed 1 --no_progress --input_mask_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626.json --K 128 --L 128 --D 4 --N 4 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,2,True,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed2,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed2/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed2 --edge_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/topologies/cycle_chords_n6_m20_seed3.json --seed 2 --input_mask_seed 2 --no_progress --input_mask_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626.json --K 128 --L 128 --D 4 --N 4 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,3,True,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed3,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed3/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed3 --edge_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/topologies/cycle_chords_n6_m20_seed3.json --seed 3 --input_mask_seed 3 --no_progress --input_mask_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626.json --K 128 --L 128 --D 4 --N 4 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,4,True,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed4,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed4/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed4 --edge_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/topologies/cycle_chords_n6_m20_seed3.json --seed 4 --input_mask_seed 4 --no_progress --input_mask_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626.json --K 128 --L 128 --D 4 --N 4 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
3,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626,5,True,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed5,/Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed5/results.pkl,python3 -u run_topology_icl.py --output /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_training/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626_trainseed5 --edge_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/topologies/cycle_chords_n6_m20_seed3.json --seed 5 --input_mask_seed 5 --no_progress --input_mask_json /Users/aadarwal/code/statmech/topology/ICL/results/prospective_tree_diff_multiplicity_n6_m20_c200/masks/cycle_chords_n6_m20_seed3__prospective_balanced_load_0008_c200_seed60626.json --K 128 --L 128 --D 4 --N 4 --B 1 --epsilon 0.001 --epochs 100 --lr 0.0025 --batch_size 50 --train_samples 5000 --val_samples 1000 --eval_frequency 10 --n_eval_samples 200 --test_samples 500 --method direct_solve --temperature 1.0 --device auto
